,Banco de San Antonio,Guanahacabibes,Isla de la Juventud,Cayo Anclitas,Chivirico,Cabo Lucrecia,Cayo Sabinal,Cayo Jutías
Banco de San Antonio,,,,,,,,
Guanahacabibes,0.002,,,,,,,
Isla de la Juventud,0.012,0.459,,,,,,
Cayo Anclitas,0.000,0.183,0.290,,,,,
Chivirico,0.001,0.306,0.475,0.447,,,,
Cabo Lucrecia,0.001,0.098,0.373,0.381,0.345,,,
Cayo Sabinal,0.001,0.291,0.360,0.443,0.122,0.448,,
Cayo Jutías,0.000,0.452,0.461,0.453,0.447,0.468,0.459,
