9,78,8,2,12,3,14,11,16,12,8,1,78,,,,,,,
Codominant data template,,,Banco de San Antonio,Guanahacabibes,Isla de la Juventud,Cayo Anclitas,Chivirico,Cabo Lucrecia,Cayo Sabinal,Cayo Jutías,,Region1,,,,,,,
Sample,Pop,MC29,,MC41,,MC49,,MC46,,MC65,,MC97,,MC4,,MC18,,MC114,
66,Cabo Lucrecia,189,193,407,419,345,345,151,157,169,175,178,186,174,209,245,248,215,227
67,Cabo Lucrecia,181,189,419,423,345,345,151,151,169,175,194,194,187,224,248,251,218,227
68,Cabo Lucrecia,189,193,403,419,273,339,151,151,169,169,190,190,174,174,248,251,212,212
69,Cayo Sabinal,173,197,419,423,345,345,157,157,169,175,178,186,174,190,248,251,215,224
70,Cayo Sabinal,181,185,407,431,273,348,151,157,169,169,186,190,178,185,245,248,188,206
71,Cayo Sabinal,185,193,427,427,345,348,151,151,169,169,190,190,165,187,248,251,194,218
73,Cayo Sabinal,173,189,407,419,273,345,151,157,169,175,178,186,174,182,245,260,191,227
74,Cayo Sabinal,189,193,419,427,273,345,151,157,175,175,190,194,177,177,248,251,200,245
75,Cayo Sabinal,185,193,407,419,264,345,151,151,169,169,178,186,199,229,239,245,194,221
76,Cayo Sabinal,173,185,411,411,345,345,151,151,169,175,190,190,187,187,245,257,200,221
77,Cayo Sabinal,173,193,419,419,273,348,151,157,169,175,194,194,185,196,245,245,197,227
78,Cayo Sabinal,177,189,407,423,264,273,157,157,169,175,178,182,174,178,245,266,191,200
81,Cayo Sabinal,173,189,407,419,264,345,0,0,163,169,190,190,178,185,245,245,188,188
82,Cayo Sabinal,193,197,419,419,345,348,151,157,169,169,190,190,182,187,248,251,200,221
83,Cayo Sabinal,193,193,415,423,264,345,151,157,169,169,182,186,182,187,248,260,212,227
86,Cayo Jutías,189,189,407,427,330,345,151,151,169,169,186,194,159,187,242,254,215,218
88,Cayo Jutías,181,185,427,427,345,348,151,151,169,175,190,190,185,198,242,257,218,218
89,Cayo Jutías,173,193,411,419,345,345,151,157,169,169,178,190,164,174,239,257,200,215
90,Cayo Jutías,177,193,419,423,345,345,151,166,169,169,190,194,167,185,245,251,206,218
91,Cayo Jutías,193,193,423,427,345,345,151,151,175,181,190,190,182,185,251,251,191,215
93,Cayo Jutías,189,201,419,419,345,348,157,157,169,175,194,194,187,197,248,254,203,206
94,Cayo Jutías,193,197,407,427,345,345,151,157,169,169,190,190,190,190,242,248,203,227
96,Cayo Jutías,177,197,407,419,345,348,157,157,169,169,182,190,165,178,245,263,224,224
