,Banco de San Antonio,Guanahacabibes,Isla de la Juventud,Cayo Anclitas,Chivirico,Cabo Lucrecia,Cayo Sabinal,Cayo Jutias
Banco de San Antonio,1,,,,,,,
Guanahacabibes,0,1,,,,,,
Isla de la Juventud,0,0.999,1,,,,,
Cayo Anclitas,0,0,0,1,,,,
Chivirico,0,0,0,0,1,,,
Cabo Lucrecia,0,0,0,0,0,1,,
Cayo Sabinal,0,0,0,0,0,0.054,1,
Cayo Jutias,0,0.242,0,0,0,0,0,1
