,Banco de San Antonio,Guanahacabibes,Isla de la Juventud,Cayo Anclitas,Chivirico,Cabo Lucrecia,Cayo Sabinal,Cayo Jutias
Banco de San Antonio,0,,,,,,,
Guanahacabibes,0.132,0,,,,,,
Isla de la Juventud,0.212,0,0,,,,,
Cayo Anclitas,0.165,0.008,0.011,0,,,,
Chivirico,0.145,0.004,0,0,0,,,
Cabo Lucrecia,0.126,0.012,0.005,0.001,0.003,0,,
Cayo Sabinal,0.13,0.005,0.006,0,0.012,0,0,
Cayo Jutias,0.157,0,0,0,0,0,0,0
