"","Banco de San Antonio","Guanahacabibes","Isla de la Juventud","Cayo Anclitas","Chivirico","Cabo Lucrecia","Cayo Sabinal","Cayo Jutias"
"Banco de San Antonio",NA,NA,NA,NA,NA,NA,NA,NA
"Guanahacabibes",0.144148905443028,NA,NA,NA,NA,NA,NA,NA
"Isla de la Juventud",0.131426637713264,-0.00690758762720944,NA,NA,NA,NA,NA,NA
"Cayo Anclitas",0.182661962580168,0.011468453472487,0.0153524855925715,NA,NA,NA,NA,NA
"Chivirico",0.157772976112013,0.00674295215044912,0.0089677614276911,0.00363941866796257,NA,NA,NA,NA
"Cabo Lucrecia",0.183353556961035,0.0105662840911626,0.0217347238756467,0.00510698278347867,0.00341112098831201,NA,NA,NA
"Cayo Sabinal",0.168853744705168,0.0059172121988332,0.00967715457094347,0.00480226461246792,0.00286257771304357,0.0013132263502106,NA,NA
"Cayo Jutias",0.174225166746872,0.000691092510228495,0.0154005859735151,0.0253205173074691,0.0172491148125728,0.012533198870808,0.0108551434343673,NA
